Borough,Major Category,Minor Category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ealing,Violence Against the Person,Harassment,2529,2622,2976,2063,2114,2087,2284,2991,3079,3239,3430
Ealing,Violence Against the Person,Murder,5,3,6,5,5,9,5,5,4,7,2
Ealing,Violence Against the Person,Offensive Weapon,200,174,139,146,101,107,123,143,163,231,193
Ealing,Violence Against the Person,Other violence,515,434,385,354,314,320,302,419,450,398,426
Ealing,Violence Against the Person,Wounding/GBH,191,0,115,316,274,602,870,971,908,986,968
Enfield,Burglary,Burglary in a Dwelling,2990,2924,2452,2810,2669,2447,2181,2101,1949,2058,2446
Enfield,Burglary,Burglary in Other Buildings,1014,1077,971,907,1059,1021,879,720,598,1085,1348
Enfield,Criminal Damage,Criminal Damage To Dwelling,919,887,833,767,584,492,496,453,482,501,441
Enfield,Criminal Damage,Criminal Damage To Motor Vehicle,1833,1593,1344,1184,916,893,897,897,902,930,923
Enfield,Criminal Damage,Criminal Damage To Other Building,275,308,283,268,166,158,164,159,177,188,141
Enfield,Criminal Damage,Other Criminal Damage,592,670,556,469,504,451,526,625,586,570,708
Enfield,Drugs,Drug Trafficking,144,115,210,145,119,234,107,136,136,102,88
Enfield,Drugs,Other Drugs,7,11,1,6,8,13,7,9,9,9,3
Enfield,Drugs,Possession Of Drugs,2180,1633,1593,1403,1031,1388,1341,1132,934,934,823
Enfield,Fraud or Forgery,Counted per Victim,689,498,843,896,602,57,0,0,0,0,0
Enfield,Fraud or Forgery,Other Fraud & Forgery,411,557,535,430,381,71,43,37,32,56,45
Enfield,Other Notifiable Offences,Going Equipped,17,17,23,20,15,19,22,18,9,16,12
Enfield,Other Notifiable Offences,Other Notifiable,251,286,404,382,298,328,434,420,524,508,617
Enfield,Robbery,Business Property,100,137,136,92,141,71,44,72,54,72,74
Enfield,Robbery,Personal Property,1039,1097,1181,1090,1019,879,741,885,771,930,1161
Enfield,Sexual Offences,Other Sexual,192,217,213,184,172,201,286,290,345,376,416
Enfield,Sexual Offences,Rape,51,93,121,118,117,139,167,191,204,252,262
Enfield,Theft and Handling,Handling Stolen Goods,118,94,65,68,46,75,54,56,49,41,28
Enfield,Theft and Handling,Motor Vehicle Interference & Tampering,85,88,124,238,234,249,223,349,453,0,0
Enfield,Theft and Handling,Other Theft,2076,1978,1957,2259,2786,2795,3175,2856,2826,2945,2984
Enfield,Theft and Handling,Other Theft Person,498,544,521,449,592,599,463,464,523,576,677
